range,content,summary,similarity
"[11783, 11784, 11785, 11786, 11787, 11788, 11789, 11790]","Gray-green eyes stared back at him. She had that Bene Gesserit serene repose about her that the young man found subtly disturbing. ""Um-m-m-m-ah-hm-m-m-m,"" said the Count. He studied Feyd-Rautha. ""The, hm-m-m-m, precise young man, ah, my . . . hm-m-m-m . . . dear?"" The Count glanced at the Baron. ""My dear Baron, you say you've spoken of us to this precise young man? What did you say?""",House Harkonnen feyd-rautha,0.3983919
"[17971, 17972, 17973, 17974, 17975, 17976, 17977, 17978]","The obvious conclusion was that someone of higher order powers was taking control of the spice source, yet the Bene Gesserit missed this point entirely!) In the face of these facts, one is led to the inescapable conclusion that the inefficient Bene Gesserit behavior in this affair was a product of an even higher plan of which they were completely unaware! = = = = = = Appendix IV: The Almanak en-Ashraf (Selected Excerpts of the Noble Houses) SHADDAM IV (10,134-10,202)","House Corrino: Appendix IV: The Almanak en-Ashraf (Selected Excerpts of the Noble Houses): Shaddam IV (10,134-10,202)",0.39765206
"[4298, 4299]","""And a tidal dust basin?"" the Duke asked. ""Certain depressions in the desert have filled with dust over the centuries.",Systems and methods for harvesting moisture from a dust basin,0.39737046
"[12831, 12832, 12833, 12834, 12835, 12836, 12837, 12838]","There is the place the Reverend Mothers are so reluctant to mention--the place where only a Kwisatz Haderach may look. This realization returned a small measure of confidence, and again she ventured to focus on the psychokinesthetic extension, becoming a mote-self that searched within her for danger. She found it within the drug she had swallowed. The stuff was dancing particles within her, its motions so rapid that even frozen time could not stop them. Dancing particles. She began recognizing familiar structures, atomic linkages: a carbon atom here, helical wavering . . . a glucose molecule. An entire chain of molecules confronted her, and she recognized a protein . . . a methyl-protein configuration. Ah-h-h!",Method and apparatus for treating addictive disorders using psychokinesthetic manipulation,0.39525253
"[11998, 11999, 12000, 12001, 12002, 12003, 12004, 12005, 12006, 12007, 12008, 12009, 12010, 12011, 12012]","Presently he said, ""It's time to go to the arena."" ""Indeed,"" said the Count. They moved out of the cone of silence and, side by side, walked toward the clumps of Houses Minor at the end of the hall. A bell began a slow tolling somewhere in the keep--twenty-minute warning for the arena gathering. ""The Houses Minor wait for you to lead them,"" the Count said, nodding toward the people they approached. Double meaning . . . double meaning, the Baron thought. He looked up at the new talismans flanking the exit to his hall--the mounted bull's head and the oil painting of the Old Duke Atreides, the late Duke Leto's father. They filled the Baron with an odd sense of foreboding, and he wondered what thoughts these talismans had inspired in the Duke Leto as they hung in the halls of Caladan and then on Arrakis--the bravura father and the head of the bull that had killed him. ""Mankind has ah only one mm-m-m science,"" the Count said as they picked up their parade of followers and emerged from the hall into the waiting room--a narrow space with high windows and floor of patterned white and purple tile. ""And what science is that?"" the Baron asked. ""It's the um-m-m-ah-h science of ah-h-h discontent,"" the Count said. The Houses Minor behind them, sheep-faced and responsive, laughed with just the right tone of appreciation, but the sound carried a note of discord as it collided with the sudden blast of motors that came to them when pages threw open the outer doors, revealing the line of ground cars, their guidon pennants whipping in a breeze. The Baron raised his voice to surmount the sudden noise, said, ""I hope you'll not be discontented with the performance of my nephew today, Count Fenring."" ""I ah-h-h am filled um-m-m only with a hm-m-m sense of anticipation, yes,"" the Count said. ""Always in the ah-h-h process verbal, one um-m-m ah-h-h must consider the ah-h-h office of origin.""",Combat between House Atreides and House Harkonnen in the arena of Giedi Prime,0.39461672
"[17860, 17861, 17862, 17863, 17864]","It was said that its pages were filled with a seductive interest in logic. Revisions that catered to popular bigotry began appearing. These revisions leaned on accepted symbolisms (Cross, Crescent, Feather Rattle, the Twelve Saints, the thin Buddha, and the like) and it soon became apparent that the ancient superstitions and beliefs had not been absorbed by the new ecumenism. Halloway's label for C.E.T.'s seven-year effort -- ""Galactophasic Determinism"" -- was snapped up by eager billions who interpreted the initials G.D. as ""God-Damned."" C.E.T. Chairman Toure Bomoko, an Ulema of the Zensunnis and one of the fourteen delegates who never recanted (""The Fourteen Sages"" of popular history), appeared to admit finally the C.E.T. had erred.","Methods, systems, and computer-readable media for galactophasic determinism",0.39381948
"[4252, 4253, 4254, 4255]","""Trip these little transmitters at our necks and rescue is on its way. All our workers will be wearing them before long. We're setting up a special rescue service."" ""Very commendable,"" Kynes said.",Systems and methods for locating a person using a wearable emergency locator device (WELD),0.39325756
"[14023, 14024, 14025, 14026, 14027, 14028, 14029, 14030]","He glanced down at the hooks in his left hand, thinking that he had only to shift those hooks down the curve of a maker's immense side to make the creature roll and turn, guiding it where he willed. He had seen it done. He had been helped up the side of a worm for a short ride in training. The captive worm could be ridden until it lay exhausted and quiescent upon the desert surface and a new maker must be summoned. Once he was past this test, Paul knew, he was qualified to make the twenty-thumper journey into the southland -- to rest and restore himself -- into the south where the women and the families had been hidden from the pogrom among the new palmaries and sietch warrens. He lifted his head and looked to the south, reminding himself that the maker summoned wild from the erg was an unknown quantity, and the one who summoned it was equally unknown to this test. ""You must gauge the approaching maker carefully,"" Stilgar had explained. ""You must stand close enough that you can mount it as it passes, yet not so close that it engulfs you.""",Method and apparatus for controlling a maker,0.38926774
"[8429, 8430, 8431, 8432]","He returned his attention to their course, watching the storm wall grow high in front of them. It loomed like a tangible solid. ""Projectile launchers, rockets, all the ancient weaponry--that's one thing we'll give the Fremen,"" Paul whispered. ""The storm,"" Jessica said.",Storm of sand,0.3882637
"[9265, 9266]","Presently, he looked up the fissure at the new slope, studying it, marking the looseness of the sand. ""If we could immobilize a small area of that slope and the upper face of a hole dug into the sand, we might be able to put down a shaft to the pack.",Method and apparatus for drilling a borehole into a glacier or other frozen body of water,0.38442487
"[12263, 12264, 12265]","And again, he caused the pennant to be dipped in signal. Across the arena, the pru-barriers had been dropped and young men were leaping down into the arena, racing toward Feyd-Rautha. ""You ordered the pru-shields dropped.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for detecting betrayal of Feyd-Rautha. In some implementations, a method includes receiving, from a first user device, a first",0.3841359
"[1248, 1249, 1250, 1251, 1252, 1253]","""This doltish Gurney Halleck has forgotten the first lesson for a fighting man armed and shielded."" Paul snapped the force button at his waist, felt the crinkled-skin tingling of the defensive field at his forehead and down his back, heard external sounds take on characteristic shield-filtered flatness. ""In shield fighting, one moves fast on defense, slow on attack,"" Paul said. ""Attack has the sole purpose of tricking the opponent into a misstep, setting him up for the attack sinister. The shield turns the fast blow, admits the slow kindjal!"" Paul snapped up the rapier, feinted fast and whipped it back for a slow thrust timed to enter a shield's mindless defenses.",Method and apparatus for simulating swordfighting in a virtual reality environment,0.38281357
"[8336, 8337, 8338, 8339]","""Yes."" He followed her across the first arrow, seeing it go black as they touched it. Another arrow beckoned ahead. They crossed it, saw it extinguish itself, saw another arrow ahead.",Arrow-shooting device and method of using the same,0.38209838
"[14609, 14610]","Scatter on the sand."" The troop began working down the worm's sides, dropping off, blending with the sand beneath their cloaks.",Method and apparatus for concealment of a person or object in a sandy environment,0.38142574
"[17541, 17542, 17543, 17544, 17545, 17546, 17547, 17548, 17549, 17550, 17551, 17552, 17553]","""Think on it, Chani: that princess will have the name, yet she'll live as less than a concubine -- never to know a moment of tenderness from the man to whom she's bound. While we, Chani, we who carry the name of concubine -- history will call us wives."" = = = = = = Appendix I: The Ecology of Dune Beyond a critical point within a finite space, freedom diminishes as numbers increase. This is as true of humans in the finite space of a planetary ecosystem as it is of gas molecules in a sealed flask. The human question is not how many can possibly survive within the system, but what kind of existence is possible for those who do survive. -Pardot Kynes, First Planetologist of Arrakis The effect of Arrakis on the mind of the newcomer usually is that of overpowering barren land.",Systems and methods for managing dune erosion,0.3808321
"[5635, 5636, 5637, 5638, 5639]","""The threat's something else. Perhaps it has to do with the lasguns. Perhaps they'll risk secreting a few lasguns with timing mechanisms aimed at house shields. Perhaps they'll . . . "" ""And who could tell after the blast if the explosion wasn't atomic?"" he asked.",Method and apparatus for detecting explosive devices in luggage,0.3778272
"[14476, 14477, 14478, 14479, 14480, 14481, 14482]","""Now,"" Stilgar said, and his voice was harsh, ""show me you know how to handle a maker. Which side are we on?"" Paul glanced down at the scaled ring surface on which they stood, noted the character and size of the scales, the way they grew larger off to his right, smaller to his left. Every worm, he knew, moved characteristically with one side up more frequently. As it grew older, the characteristic up-side became an almost constant thing. Bottom scales grew larger, heavier, smoother. Top scales could be told by size alone on a big worm.",Method and apparatus for determining the age of earthworms,0.37526017
"[10021, 10022, 10023, 10024]","""The highest function of ecology is understanding consequences."" The voice shocked him because he recognized it and knew the owner of it was dead. It was the voice of his father who had been planetologist here before him- -his father long dead, killed in the cave-in at Plaster Basin. ""Got yourself into quite a fix here, Son,"" his father said.",Method and apparatus for detecting and mitigating risks associated with geologic hazards on an extraterrestrial body,0.3736922
"[2521, 2522, 2523]","The thing dropped a half meter, quartered to the left, circled back around the bed. A faint humming could be heard from it. Who is operating that thing?",Apparatus and method for detecting an intruder in a room,0.37344992
"[16617, 16618]","""Child, can you communicate with your brother?"" ""My brother knows I'm here,"" Alia said.",Systems and methods for secure communications between children and caregivers,0.37333733
"[11314, 11315, 11316, 11317, 11318, 11319]","""Broach one for those that need it,"" Stilgar said. ""Watermaster . . . where is a watermaster? Ah, Shimoom, care for the measuring of what is needed. The necessity and no more. This water is the dower property of the Sayyadina and will be repaid in the sietch at field rates less pack fees."" ""What is the repayment at field rates?"" Jessica asked.",Method and apparatus for harvesting water from an atmospheric or sub-atmospheric reservoir,0.37301624
"[2636, 2637, 2638, 2639, 2640]",Why an airlock in a house? she asked herself. And she thought suddenly of exotic creatures sealed off in special climates. Special climate! That would make sense on Arrakis where even the driest of off-planet growing things had to be irrigated.,Method and apparatus for controlling humidity in a building,0.37109128
"[8152, 8153, 8154]","""You gave a good answer."" Jessica marked the easy rumble of the man's voice. It was a royal voice, accustomed to command.",Apparatus and method for providing an audio response to a spoken utterance,0.36700007
"[1263, 1264, 1265]","""Mood?"" Halleck's voice betrayed his outrage even through the shield's filtering. ""What has mood to do with it?","Methods, systems, and computer-readable media for determining a user's emotional state",0.36592388
"[8076, 8077, 8078, 8079, 8080, 8081, 8082, 8083]","""A lasgun beam touched it and . . . "" He shrugged. ""Subatomic fusion,"" Jessica said. ""That's a dangerous weapon."" ""Not weapon, m'Lady, defense. That scum will think twice before using lasguns another time."" The Fremen from the ornithopters stopped above them. One called in a low voice: ""We should get under cover, friends.""",Method and apparatus for subatomic fusion powered spacecraft propulsion,0.3651992
"[5146, 5147, 5148, 5149]","You will be perfectly secure as long as you remain here, and we'll have this little trouble cleared up very shortly."" Paul caught the code words in his father's message--guard-safe-secure-shortly. The problem was security, not violence. He saw that his mother had read the same message.",Method and apparatus for securing access to a guarded area,0.3571539
"[7631, 7632, 7633, 7634, 7635, 7636, 7637, 7638, 7639, 7640, 7641, 7642]","Five legions--fifty brigades! --attacking the Duke's main base at Arrakeen. A legion at Arsunt. Two battle groups at Splintered Rock. Then the reports became more detailed--there were Imperial Sardaukar among the attackers--possibly two legions of them. And it became clear that the invaders knew precisely which weight of arms to send where. Precisely! Superb Intelligence. Hawat's shocked fury had mounted until it threatened the smooth functioning of his Mentat capabilities. The size of the attack struck his mind like a physical blow. Now, hiding beneath a bit of desert rock, he nodded to himself, pulled his torn and slashed tunic around him as though warding off the cold shadows. The size of the attack. He had always expected their enemy to hire an occasional lighter from the Guild for probing raids.",Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune,0.35662472
"[11685, 11686, 11687, 11688, 11689, 11690]","Jessica felt the religious ritual in the words, noted her own instinctively awed response. They're in league with the future, she thought. They have their mountain to climb. This is the scientist's dream . . . and these simple people, these peasants, are filled with it. Her thoughts turned to Liet-Kynes, the Emperor's planetary ecologist, the man who had gone native--and she wondered at him. This was a dream to capture men's souls, and she could sense the hand of the ecologist in it.",A sandworm of Dune (Betrayal of Dune),0.3558462
"[7060, 7061, 7062, 7063, 7064]","I should feel something. But he felt nothing except: Here's an important fact. It was one with all the other facts. All the while his mind was adding sense impressions, extrapolating, computing. Halleck's words came back to Paul: ""Mood's a thing for cattle or for making love.",Systems and methods for determining a mood of a user,0.35574204
"[1206, 1207, 1208, 1209, 1210]","He glanced abound the room, noting that Hawat's men already had been over it, checking, making it safe for a duke's heir. The subtle code signs were all around. Paul watched the rolling, ugly man set himself back in motion, veer toward the training table with the load of weapons, saw the nine-string baliset slung over Gurney's shoulder with the multipick woven through the strings near the head of the fingerboard. Halleck dropped the weapons on the exercise table, lined them up -- the rapiers, the bodkins, the kindjals, the slow-pellet stunners, the shield belts. The inkvine scar along his jawline writhed as he turned, casting a smile across the room.",Sword and laser: a novel of the fourth horseman of the apocalypse,0.35504565
"[2668, 2669, 2670, 2671, 2672]","She tensed, then glimpsed a simple clock-set servok with pipe and hose arms. An arm lifted, sent out a fine spray of dampness that misted her cheeks. The arm retracted and she looked at what it had watered: a fern tree. Water everywhere in this room--on a planet where water was the most precious juice of life. Water being wasted so conspicuously that it shocked her to inner stillness.",Method and apparatus for controlling humidity in an enclosed environment,0.35449392
"[18253, 18254, 18255, 18256, 18257, 18258, 18259, 18260, 18261, 18262, 18263, 18264, 18265, 18266, 18267, 18268, 18269, 18270, 18271]","Originally a sour milk drink. LISAN AL-GAIB: ""The Voice from the Outer World."" In Fremen messianic legends, an offworld prophet. Sometimes translated as ""Giver of Water."" (See Mahdi.) LITERJON: a one-liter container for transporting water on Arrakis; made of high-density, shatterproof plastic with positive seal. LITTLE MAKER: the half-plant-half-animal deep-sand vector of the Arrakis sandworm. The Little Maker's excretions form the pre-spice mass. MAHDI: in the Fremen messianic legend, ""The One Who Will Lead Us to Paradise."" MAKER: see Shai-hulud. MAKER HOOKS: the hooks used for capturing, mounting, and steering a sandworm of Arrakis. MANTENE: underlying wisdom, supporting argument, first principle. (See Giudichar.) MATING INDEX: the Bene Gesserit master record of its human breeding program aimed at producing the Kwisatz Haderach. MAULA: slave. MAULA PISTOL: spring-loaded gun for firing poison darts; range about forty meters. MELANGE: the ""spice of spices,"" the crop for which Arrakis is the unique source. The spice, chiefly noted for its geriatric qualities, is mildly addictive when taken in small quantities, severely addictive when imbibed in quantities above two grams daily per seventy kilos of body weight. (See Ibad, Water of Life, and Pre-spice Mass.)",Apparatus and method for spice planet arrakis,0.35416287
"[11572, 11573]","""Two liters; one liter; seven watercounters of one drachm each; one watercounter of three-thirty-seconds drachms. In all--thirty-three liters and seven and three-thirty-seconds drachms.""",Apparatus and method for measuring liquids,0.35391617
"[10183, 10184, 10185, 10186, 10187, 10188, 10189]","Kynes thought. My Fremen have found me! Then he heard the sand rumbling. Every Fremen knew the sound, could distinguish it immediately from the noises of worms or other desert life. Somewhere beneath him, the pre-spice mass had accumulated enough water and organic matter from the little makers, had reached the critical stage of wild growth. A gigantic bubble of carbon dioxide was forming deep in the sand, heaving upward in an enormous ""blow"" with a dust whirlpool at its center. It would exchange what had been formed deep in the sand for whatever lay on the surface.",Sandworms of Arrakis: planetary ecology and evolution of,0.3528096
"[10714, 10715, 10716, 10717]","Maker--their word for worm, she thought. She measured the import of his words, the statement that they could not permit a worm into this basin. She knew what she had seen in the mirage--Fremen riding on the back of a giant worm. It took heavy control not to betray her shock at the implications.",Sandworms of Dune,0.35229462
"[2733, 2734]","Leave the thing in the water."" He brought out his hand, shook water from it, staring at the quiescent metal in the fountain.",Apparatus and method for cleaning a surface of an object submerged in a body of water,0.35123295
"[4058, 4059, 4060, 4061, 4062, 4063, 4064]","The Duke banked into his air cover, the other craft taking up their guard positions as they headed southeast. ""The design and manufacture of these stillsuits bespeaks a high degree of sophistication,"" the Duke said. ""Someday I may show you a sietch factory,"" Kynes said. ""I would find that interesting,"" the Duke said. ""I note that suits are manufactured also in some of the garrison cities."" ""Inferior copies,"" Kynes said. ""Any Dune man who values his skin wears a Fremen suit.""",Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune,0.34932837
"[12520, 12521, 12522, 12523, 12524]","""Yet we take the time to . . . "" He motioned with his head toward the arch now far behind them. "" . . . make . . . dew collectors?"" ""The planting goes on."" ""What're dew collectors?"" he asked.",Systems and methods for harvesting moisture from atmospheric water vapor,0.34883076
"[12685, 12686]","She had removed her stillsuit and wore a graceful blue wraparound that exposed her thin arms. Near the shoulder on her left arm, a green kerchief had been tied.",Protective garment for use in a post-apocalyptic setting,0.34695795
"[8296, 8297, 8298, 8299, 8300, 8301]","""Those were Sardaukar in Harkonnen uniform,"" Jessica whispered. They could hear pounding on the door now, rhythmic blows. Kynes indicated the cabinets against the right-hand wall, said: ""This way."" He crossed to the first cabinet, opened a drawer, manipulated a handle within it. The entire wall of cabinets swung open to expose the black mouth of a tunnel. ""This door also is plasteel,"" Kynes said.",Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune: House Harkonnen (Dune,0.34639913
"[17673, 17674]","Some smugglers employed the domesticated desert ass, the kulon, but the water price was high even when the beasts were fitted with modified stillsuits. Kynes thought of installing reduction plants to recover water from the hydrogen and oxygen locked in native rock, but the energy-cost factor was far too high.",Systems and methods for mitigating desertification of Arrakis (Dune),0.34242833
"[12058, 12059, 12060, 12061, 12062]","Instead, a key word had been drummed into the man's unconscious to immobilize his muscles at a critical instant. Feyd-Rautha rolled the vital word in his mind, mouthing it without sound: ""Scum!"" To the audience, it would appear that an un-drugged slave had been slipped into the arena to kill the na-Baron. And all the carefully arranged evidence would point to the slavemaster. A low humming arose from the red door's servomotors as they were armed for opening.",House Harkonnen feyd-rautha,0.34130085
"[9378, 9379]","This was a likely place-- deep in rock walls and facing another cliff some four kilometers away--far enough above the desert to avoid worms but close enough for easy access before a crossing. She turned, seeing that Paul had the tent up, its rib-domed hemisphere blending with the rock walls of the fissure.","Sandworms of Arrakis (The Dune Saga, Book 1): Dune Summary:Paul Atreides of House Atreides, born in the year 10,191 AG (After Gu",0.3401671
"[16122, 16123, 16124, 16125, 16126, 16127, 16128]","Paul emerged into a shallow depression in the Shield Wall's surface. It was a place about thirty meters in diameter and some three meters deep, a natural feature of the rock that the Fremen had hidden beneath a translucent camouflage cover. Communications equipment was clustered around a hole in the wall to the right. Fedaykin guards deployed through the depression waited for Muad'Dib's command to attack. Two men emerged from the hole by the communications equipment, spoke to the guards there. Paul glanced at Stilgar, nodded in the direction of the two men. ""Get their report, Stil.""","Methods, systems, and computer-readable media for battle of Arrakeen",0.3390424
"[9381, 9382, 9383, 9384, 9385, 9386]","He adjusted their internal pressure with a quick twist, focused the oil lenses on the other cliff lifting golden tan in morning light across open sand. Jessica watched as he studied that apocalyptic landscape, his eyes probing into sand rivers and canyons. ""There are growing things over there,"" he said. Jessica found the spare binoculars in the pack beside the tent, moved up beside Paul. ""There,"" he said, holding the binoculars with one hand and pointing with the other. She looked where he pointed.",Systems and methods for identifying objects of interest in an aerial image,0.3382527
"[12730, 12731, 12732, 12733]","From deep in the acoustical horn, the old woman's voice came out to them, an amplified whisper, harsh and penetrating: ""Chani has returned from her hajra-- Chani has seen the waters."" A sussurant response arose from the crowd: ""She has seen the waters."" ""I consecrate the daughter of Liet in the Sayyadina,"" husked the old woman. ""She is accepted,"" the crowd responded.",Method and apparatus for performing a hajra,0.3372565
"[14484, 14485, 14486, 14487, 14488]","He motioned flankers down to open segments along the side and keep the worm on a straight course as it rolled. When he had it turned, he motioned two steersmen out of the line and into positions ahead. ""Ach, haiiiii-yoh!"" he shouted in the traditional call. The left-side steersman opened a ring segment there. In a majestic circle, the maker turned to protect its opened segment.",Method and apparatus for controlling movement of a maker,0.33683646
"[10105, 10106, 10107, 10108, 10109, 10110, 10111]","""The Arrakeen environment built itself into the evolutionary pattern of native life forms,"" his father said. ""How strange that so few people ever looked up from the spice long enough to wonder at the near-ideal nitrogen-oxygen-CO2 balance being maintained here in the absence of large areas of plant cover. The energy sphere of the planet is there to see and understand--a relentless process, but a process nonetheless. There is a gap in it? Then something occupies that gap. Science is made up of so many things that appear obvious after they are explained. I knew the little maker was there, deep in the sand, long before I ever saw it.""","Methods, systems, and computer-readable media for managing sandworms of Arrakis are disclosed herein. According to some embodiments, a method for managing sandworms of Arrakis may include receiving",0.33438036
"[1871, 1872, 1873, 1874]","She went through the quick regimen of calmness -- the two deep breaths, the ritual thought, then: ""When I assign rooms, is there anything special I should reserve for you?"" ""You must teach me someday how you do that,"" he said, ""the way you thrust your worries aside and turn to practical matters. It must be a Bene Gesserit thing."" ""It's a female thing,"" she said.",Method and apparatus for assigning rooms in a hotel or other lodging facility,0.33329475
"[10096, 10097, 10098]","""It was lines of movement that gave us the first clue to the relationship between worms and spice,"" his father said. A worm, Kynes thought with a surge of hope. A maker's sure to come when this bubble bursts.","Methods, systems, and apparatus, including computer programs encoded on a computer-readable storage medium, for sandworms and the eruption of Arrakis. In some implementations, a computer-implemented method is provided for",0.33213618
"[16315, 16316, 16317, 16318, 16319, 16320, 16321]","Paul glanced up at the darkening sky, said: ""Gurney, have the south wall observers pulled out."" He had to repeat his order, shouting above the growing noise of the storm. Gurney turned to obey. Paul fastened his face filter, tightened the stillsuit hood. Gurney returned. Paul touched his shoulder, pointed to the blast trigger set into the tunnel mouth beyond the signalmen. Gurney went into the tunnel, stopped there, one hand at the trigger, his gaze on Paul.","Apollo 13: a thrilling tale of disaster, courage, and survival",0.33093908
"[2922, 2923, 2924, 2925]","""How many G's does this place pull? Feels heavy."" ""Nine-tenths of a G by the book."" The crossfire of thrown words filled the big room.",Apparatus and method for measuring g-forces experienced by an occupant of a vehicle,0.32978448
"[1070, 1071, 1072]","It's from those suits they wear -- call them 'stillsuits' -- that reclaim the body's own water."" Paul swallowed, suddenly aware of the moisture in his mouth, remembering a dream of thirst. That people could want so for water they had to recycle their body moisture struck him with a feeling of desolation.",Stillsuit and methods of use thereof,0.32945055
"[17910, 17911, 17912]","(This is the source of the Fremen saying: ""Speed comes from Shaitan."" Consider: for every one hundred calories of heat generated by exercise [speed] the body evaporates about six ounces of perspiration. The Fremen word for perspiration is bakka or tears and, in one pronunciation, translates: ""The life essence that Shaitan squeezes from your soul."")",Apparatus and method for cooling a wearer's head during physical exertion,0.32923007
"[11770, 11771, 11772]",The Baron moved down the length of the hall with that peculiar waddling-glide imparted by the necessities of guiding suspensor-hung weight. His jowls bobbed up and down; the suspensors jiggled and shifted beneath his orange robe. Rings glittered on his hands and opafires shone where they had been woven into the robe.,Method and apparatus for maneuvering a suspensor-bearing entity in a three-dimensional environment,0.32916552
"[17696, 17697, 17698, 17699, 17700]","(Water is poisonous to shai-hulud as the Fremen had long known from drowning the rare ""stunted worm"" of the Minor Erg to produce the awareness-spectrum narcotic they call Water of Life. The ""stunted worm"" is a primitive form of shai-hulud that reaches a length of only about nine meters.) Now they had the circular relationship: little maker to pre-spice mass; little maker to shai-hulud; shai-hulud to scatter the spice upon which fed microscopic creatures called sand plankton; the sand plankton, food for shai-hulud, growing, burrowing, becoming little makers. Kynes and his people turned their attention from these great relationships and focused now on micro-ecology. First, the climate: the sand surface often reached temperatures of 344° to 350° (absolute).","Methods, systems, and apparatus, including computer programs encoded on a computer-readable storage medium, for sandworms of Arrakis: how Dune's ecology works. In accordance with some embodiments,",0.3276763
"[12067, 12068, 12069]","The way a slave cocked his head could give the most vital clue to counter and feint. The red door slammed open. Out charged a tall, muscular man with shaved head and darkly pitted eyes.",Method and apparatus for detecting an intruder in a dwelling,0.32695746
"[16333, 16334, 16335]","""The storm is on them and our gunners already are firing."" Paul thought of the storm sweeping across the basin, the static charge within the wall of sand that destroyed every shield barrier in the enemy camp. ""The storm!"" someone shouted.","Apparatus, system, and method for detecting and mitigating sandstorms",0.3256768
"[9331, 9332, 9333]","He added another pinch of spice to the container, sent the foam boiling around Jessica's hands as she began cutting a vertical face in the upper slant of the hole. On the second pass, her hands encountered something hard. Slowly, she worked out a length of strap with a plastic buckle.",Apparatus and method for securing a lid to a container,0.3232664
"[1674, 1675]","He says you have a nicety of awareness -- in his own words -- of the difference between a blade's edge and its tip."" ""Gurney says there's no artistry in killing with the tip, that it should be done with the edge.""",Method and apparatus for sharpening a knife blade,0.32319522
"[7587, 7588]","""The way they're cutting up the desert . . . it's as though they were making certain they stamped out whatever's there . . . the way you'd stamp out a nest of insects."" ""Or a nest of Atreides,"" Jessica said.",Sandworms of Dune,0.3211094
