range,content,summary,similarity
"[1026, 1027, 1028]","It's not that the thing has threads in it—it is threads. Threads going under and over each other. If you pulled out all of the threads, nothing would be left.”",Apparatus and method for securing a threaded fastener,0.4643733
"[6537, 6538, 6539]","Harv was lying on the top of a three-layer bunkbed on the twentieth floor, sharing a small room and a supply of purified air with a dozen other chronic asthma sufferers. His face was goggled into a phantascope, and his lips were wrapped around a thick tube plugged into a nebulizer socket on the wall. Vaporized drugs, straight from the matter compiler, were flowing down that tube and into his lungs, working to keep his bronchi from spasming shut.",Method and apparatus for treating an asthma attack,0.46194488
"[9313, 9314]","By the time she had descended perhaps fifty or sixty floors, the building had come awake; all of the cars were in constant motion, and when they went past her, she could hear men talking excitedly inside them. Light flooded into the shaft several floors below.",Method and apparatus for transporting objects between floors of a multi-story building,0.4610695
"[9310, 9311]","Another man was on guard in the elevator lobby, and as he came to investigate the sounds, she ran him through several times quickly, taking a page from Napier's book this time. The elevators were now under some kind of central control and probably subject to surveillance; rather than press the button in the lobby, she cut a hole in the doors, sheathed her sword, and clambered out onto a ladder that ran down the shaft.",Method and apparatus for controlling an elevator,0.45976102
"[6507, 6508, 6509, 6510, 6511]","The umbrellas could be programmed to dangle in different ways—always maintaining the same collective shape, like a fencing mask, or rippling like a sheet of fine silk, depending on the current mode. The veil offered Nell protection from unwanted scrutiny. Many New Atlantis career women also used the veil as a way of meeting the world on their own terms, ensuring that they were judged on their own merits and not on their appearance. It served a protective function as well, bouncing back the harmful rays of the sun and intercepting many deleterious nanosites that might otherwise slip unhindered into the nose and mouth. The latter function was of particular concern to Constable Moore on this morning.",Umbrella,0.4580996
"[3255, 3256]","They came to the center of the rocky outcropping and laid the bundle on the ground, then turned and walked away. Judge Fang turned away from the mediatron and dismissed it with a wave of the hand; he did not have to see it to know that the bundle was a baby, probably female.",Method and apparatus for determining the sex of a fetus in utero,0.45643428
"[3007, 3008, 3009, 3010]","The world had been such a quiet and dead place for so long that we were startled by any noise or movement, and now it seemed that the air and ground had come alive once more, just as in the old days before the comet. The noise in the air was caused by a great flock of teensy-tiny Pteranodons, though instead of smooth reptilian skin their wings were covered with oversize scales, and they had toothless, bony beaks instead of proper mouths. These miserable things— these airborne crumbs—were swarming all around Pteranodon, getting in his eyes, pecking at his wings, and it was all he could do to keep airborne. As I mentioned, I was keeping one eye on Utahraptor as always, and to my surprise he suddenly turned away and ran up onto the north slope, with an eagerness that could be explained only by the availability of food.","Pteranodon (Pteranodon longiceps), a new species of pterosaur from the Upper Cretaceous (Maastrichtian) Hell Creek Formation of Montana, U.S.A.",0.4548712
"[8151, 8152, 8153]","The boat was basically a large flat open tub, not much more than a life raft, with some controls in the bow and some sort of modern and hence negligibly small propulsion system built into the stern. As their eyes adjusted to the dim light scattering through the fog, they could see perhaps a dozen other passengers around the edge of the boat, seated so that wakes from passing vessels would not upset them. Seeing wisdom in this, John led Fiona to the only remaining open space, and they sat down between two other groups: a trio of young Nipponese men forcing cigarettes on one another, and a man and woman in bohemian-but-expensive clothes, sipping lager from cans and conversing in Canadian accents.",Boat ride to nowhere,0.45381027
"[1056, 1057]","The system included larger aerostats called nurse drones that would cruise around dumping large amounts of power into randomly selected pods all over the grid, which would then distribute it to their neighbors. If a pod thought it was having mechanical trouble, it would send out a message, and a fresh pod would fly out from the Royal Security installation beneath Source Victoria and relieve it so that it could fly home to be decompiled.",Aerostat-based power distribution system,0.45116973
"[124, 125, 126, 127, 128, 129, 130]","“You wish to secure a line of credit,” he said, as if he were pleasantly surprised, which was not terribly likely. “I guess you could say that,” Bud allowed, wishing he'd known to put it in such fine-sounding terminology. The banker reached inside his jacket and withdrew a piece of paper, folded in thirds, from his breast pocket. “You may wish to peruse this brochure,” he said to Bud, and to the brochure itself he rattled off something in an unfamiliar tongue. As Bud took it from the banker's hand, the blank page generated a nice animated color logo and music. The logo developed into a peacock. Beneath it, a video presentation commenced, hosted by a similar-looking gent—sort of Indian looking but sort of Arab too.",Method and apparatus for securing a line of credit,0.4505803
"[3440, 3441, 3442, 3443, 3444, 3445, 3446]","The charge was repeated, somewhat more elaborately. The woman stepped forward and introduced evidence: a cine record that was played on a large mediatron covering the back wall of the stage. It was a film of the suspect, John Percival Hackworth, slicing a bit of skin from his hand and giving it to (the innocent) Dr. X, who (not knowing that he was being gulled into committing a theft) extracted a terabyte of hot data from a cocklebur-shaped mite, and so on, and so on. “The only thing that remains is to prove that this information was, indeed, stolen—though this is strongly implied by the suspect's behavior,” Judge Fang said. In support of this assertion, Constable Chang stepped forward and told the story of his visit to Hackworth's flat. “Mr. Hackworth,” said Judge Fang, “would you like to dispute that this property was stolen? If so, we will hold you here while a copy of the information is supplied to Her Majesty's Police; they can confer with your employer to determine whether you did anything dishonest.",Method and apparatus for determining guilt or innocence,0.44950253
"[7752, 7753]","Examining the market stalls in more detail, she saw that each one included a man who did nothing but sit at a table and decipher books, writing them out on long sheets of foolscap and handing them over to other people, who would read through the contents, consult rule-books, and dictate responses to the man with the quill pen, who enciphered them and wrote them out in books that were then tossed out into the marketplace for delivery. The men with the quill pens, she noticed, always wore jeweled keys on chains around their necks; the key was apparently the badge of the cipherers' guild.","Ciphers, cryptography, and code-breaking in the Middle Ages",0.44933546
"[1748, 1749, 1750, 1751, 1752, 1753]","The facing page had a little picture in the upper left, consisting of more vines and flowers wrapped around a giant egg-shaped letter. But the rest of that page was nothing but tiny black letters without decoration. Nell turned it and found two more pages of letters, though a couple of them were big ones with pictures drawn around them. She turned another page and found another picture. In this one, the little girl had set aside her book and was talking to a big black bird that had apparently gotten its foot tangled up in the vines overhead. She flipped another page.",Method and apparatus for reading a book to a child,0.44826582
"[4972, 4973, 4974, 4975, 4976]","Toward the end, smoke or steam or something begins to spiral up from the middle of the orgy. The last participant grimaces even more than the average person who's having an orgasm, and yanks himself back from the woman, grabbing his dick and hopping up and down and hollering in what looks like pain. That's the signal for all of the dancers to jump back away from the woman, who is now kind of hard to make out, just a fuzzy motionless package wrapped in steam. Flames erupt from several locations, all over her body, at once, seams of lava splitting open along her veins and the heart itself erupting from her chest like ball lightning. Her body becomes a burning cross spread out on the floor, the bright apex of an inverted cone of turbulent steam and smoke.","Methods, systems, and computer-readable media for steampunk orgy",0.44604763
"[9645, 9646, 9647, 9648, 9649, 9650, 9651, 9652, 9653, 9654]","Three-quarters of the Mouse Army evacuated itself through the technique of stripping naked and walking into the ocean en masse, linked arm-in-arm into a flexible and unsinkable raft that gradually, slowly, exhaustingly paddled across the sea to New Chusan. Rumors spread rapidly up and down the length of the coast; the tribal borders seemed to accelerate rather than hinder this process as interfaces between languages and cultures spawned new variants of each rumor, tailored to the local fears and prejudices. The most popular rumor was that the Celestials planned to give everyone safe passage and that the attacks were being carried out by intelligent mines that had run out of control or, at worst, by a few fanatical commanders who were defying orders and who would soon be brought to heel. There was a second, stranger rumor that gave some people an incentive to remain on the shore and not entrust themselves to the evacuation ships: A young woman with a book and a sword was creating magical tunnels from out of the deep that would carry them all away to safety. Such ideas were naturally met with skepticism among more rational cultures, but on the morning of the sixth day of the siege, the neap tide carried a peculiar omen up onto the sand: a harvest of translucent eggs the size of beach balls. When their fragile shells were torn open, they were found to contain sculpted backpacks pierced with a fractal pattern of delicate louvers. A stiff hose extended from the top and connected to a facemask. Under the circumstances, it was not difficult to divine the use of these objects. People strapped the packs onto their backs, slipped on the facemasks, and plunged into the water. The backpacks acted like the gills of a fish and provided a steady supply of oxygen.","Methods, systems, and computer-readable media for evacuating New Chusan",0.4451593
"[1482, 1483, 1484, 1485, 1486, 1487, 1488]","It sounds ingenious, Hackworth had said, startled by Finkle-McGraw's offhanded naughtiness. But what is that ingredient? I don't exactly know, Finkle-McGraw had said, but as a starting-point, I would like you to go home and ponder the meaning of the word subversive. Hackworth didn't have to ponder it for long, perhaps because he'd been toying with these ideas so long himself. The seed of this idea had been germinating in his mind for some months now but had not bloomed, for the same reason that none of Hackworth's ideas had ever developed into companies. He lacked an ingredient somewhere, and as he now realized, that ingredient was subversiveness. Lord Alexander Chung-Sik Finkle-McGraw, the embodiment of the Victorian establishment, was a subversive.",Systems and methods for using subversives to improve the quality of life of human beings,0.44362083
"[2894, 2895, 2896, 2897, 2898, 2899, 2900, 2901, 2902, 2903, 2904, 2905, 2906]","The practice of infanticide is at an all-time high.” “Your next goal in life,” Judge Fang said, “will be to prove all of this to my satisfaction.” The door opened. One of Judge Fang's constables entered the room and bowed deeply to apologize for the interruption, then stepped forward and handed the magistrate a scroll. The Judge examined the seal; it bore the chop of Dr. X. He carried it to his office and unrolled it on his desk. It was the real thing, written on rice paper in real ink, not the mediatronic stuff. It occurred to the Judge, before he even read this document, that he could take it to an art dealer on Nanjing Road and sell it for a year's wages. Dr. X, assuming it was really he who had brushed these characters, was the most impressive living calligrapher whose work Judge Fang had ever seen. His hand betrayed a rigorous Confucian grounding—many decades more study than Judge Fang could ever aspire to—but upon this foundation the Doctor had developed a distinctive style, highly expressive without being sloppy. It was the hand of an elder who understood the importance of gravity above all else, and who, having first established his dignity, conveyed most of his message through nuances. Beyond that, the structure of the inscription was exactly right, a perfect balance of large characters and small, hung on the page just so, as if inviting analysis by legions of future graduate students. Judge Fang knew that Dr. X controlled legions of criminals ranging from spankable delinquents up to international crime lords; that half of the Coastal Republic officials in Shanghai were in his pocket; that within the limited boundaries of the Celestial Kingdom, he was a figure of considerable importance, probably a blue-button Mandarin of the third or fourth rank; that his business connections ran to most of the continents and phyles of the wide world and that he had accumulated tremendous wealth. All of these things paled in comparison with the demonstration of power represented by this scroll.",Method and apparatus for detecting and preventing infanticide,0.44270557
"[4982, 4983, 4984, 4985]","Her remains tumble into the center, powdery ash flies, flecks of red-hot coals spark. The skeleton men carry the remains over to a fifty-five-gallon steel drum and dump it in. There is a burst of steam and lots of sizzling noises as the hot coals contact some kind of liquid that was in the drum. One of the skeleton men picks up a long spoon and gives the mix a stir, then dips a cracked and spalled University of Michigan coffee mug into it and takes a long drink.",Apparatus and method for disposing of human remains,0.43741822
"[306, 307, 308, 309]","After her death, he moved to Minneapolis and took a job with a company founded by one of his former professors, making scanning tunneling microscopes, which at that time were newish devices capable of seeing and manipulating individual atoms. The field was an obscure one then, the clients tended to be large research institutions, and practical applications seemed far away. But it was perfect for a man who wanted to study nanotechnology, and McGraw began doing so, working late at night on his own time. Given his diligence, his self-confidence, his intelligence (“adaptable, relentless, but not really brilliant”), and the basic grasp of business he'd picked up on the farm, it was inevitable that he would become one of the few hundred pioneers of nanotechnological revolution; that his own company, which he founded five years after he moved to Minneapolis, would survive","Apparatuses, systems, methods, and computer-readable mediums for nanotechnology are disclosed herein. In one aspect, an apparatus for nanotechnology is disclosed. The apparatus includes a substrate",0.43682465
"[2623, 2624, 2625, 2626, 2627, 2628, 2629]","Within a week she was teaching this girl how to read. They'd work on letters for a while and then wander off into more stories about Princess Nell, stop in the middle for a quick practical demonstration of basic math, return to the story, and then get sidetracked with an endless chain of “why this?” and “why that?” Miranda had spent a lot of time with kiddie ractives, both as a child and as a governess, and the superiority of this thing was palpable—like hefting an antique silver fork when you'd been eating with plastic utensils for twenty years, or slithering into a tailor-made evening gown when you were used to jeans. These and other associations came into Miranda's mind on any of the rare moments when she came into contact with something of Quality, and if she didn't make a conscious effort to stop the process, she would end up remembering just about everything that had happened to her during the first years of her life—the Mercedes taking her to private school, the crystal chandelier that would ring like fairy bells when she climbed up on the huge mahogany dinner table to tickle it, her paneled bedroom with the four-poster bed with the silk-and-goosedown duvet . For reasons still unspecified, Mother had moved them far away from all of that, into what passed for poverty these days. Miranda only remembered that, when she had been physically close to Father, Mother had watched them with more vigilance than seemed warranted.","Apparatuses, systems, methods, and computer-readable mediums for providing a princess and the ractive. A princess and the ractive apparatus includes a princess module and a ractive module. The",0.43583286
"[1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636]","Fred Epidermis was exclaiming, watching her on a second monitor outside the stage. “It's a Jodie,” she said, but she stumbled over the words as the field of stars moved, tracking the displacements of her jaw and lips. Outside, Fred Epidermis was wielding the editing controls, zooming in on her face, which was dense as a galactic core. By comparison, her arms and legs were wispy nebulas and the back of her head nearly invisible, with a grand total of maybe a hundred 'sites placed around her scalp like the vertices of a geodesic dome. The eyes were empty holes, except (she imagined) when she closed her eyes. Just to check it out, she winked into the mediatron. The 'sites on her eyelids were dense as grass blades on a putting green, but accordioned together except when the lid expanded over the eye. Fred Epidermis recognized the move and zoomed in so violently on her winking eye that she nearly threw herself back on her ass.",Method and apparatus for generating an image of a person's epidermis,0.43313003
"[208, 209, 210, 211, 212, 213, 214, 215]","It reminded him of pouring a jet of heavy cream into coffee, watching it rebound from the bottom of the cup in a turbulent fractal bloom that solidified just as it dashed against the surface. The speed of this process was a carefully planned sleight-of-hand; the smart coral had actually been growing down on the bottom of the ocean for the last three months, drawing its energy from a supercon that they'd grown across the seafloor for the occasion, extracting the necessary atoms directly from the seawater and the gases dissolved therein. The process happening below looked chaotic, and in a way it was; but each lithocule knew exactly where it was supposed to go and what it was supposed to do. They were tetrahedral building blocks of calcium and carbon, the size of poppyseeds, each equipped with a power source, a brain, and a navigational system. They rose from the bottom of the sea at a signal given by Princess Charlotte; she had awakened to find a small present under her pillow, unwrapped it to find a golden whistle on a chain, stood out on her balcony, and blown the whistle. The coral was converging on the site of the island from all directions, some of the lithocules traveling several kilometers to reach their assigned positions. They displaced a volume of water equal to the island itself, several cubic kilometers in all. The result was furious turbulence, an up-swelling in the surface of the ocean that made some of the children scream, thinking it might rise up and snatch the airship out of the sky; and indeed a few drops pelted the ship's diamond belly, prompting the pilot to give her a little more altitude.",Apparatus and method for growing coral,0.43039256
"[4165, 4166]","They headed toward the main street of Lazy Bay Towne, which was the Leased Territory into which the pod had ejected them. The main street curved along the waterfront, separating a beach from a very large number of drinking establishments fronted with lurid, bawdy mediatrons.",Lazy bay towne,0.42915642
"[7705, 7706, 7707, 7708, 7709, 7710, 7711, 7712, 7713, 7714]","Castle Turing had been a fair sample of King Coyote's domain: a place with few human beings, albeit filled with fascinating places and situations. She made her lonesome way across the domain of King Coyote, visiting one castle after another, and encountering a different conundrum in each one. The second castle (after Castle Turing) was built on the slope of a mountain and had an elaborate irrigation system in which water from a bubbling spring was routed through a system of gates. There were many thousands of these gates, and they were connected to each other in small groups, so that one gate's opening or closing would, in some way, affect that of the others in its group. This castle grew its own food and was suffering a terrible famine because the arrangement of gates had in some way become fubared. A dark, mysterious knight had come to visit the place and apparently sneaked out of his bedroom in the middle of the night and fiddled with connections between some gates in such a way that water no longer flowed to the fields. Then he had disappeared, leaving behind a note stating that he would fix the problem in exchange for a large ransom in gold and jewels. Princess Nell spent some time studying the problem and eventually noticed that the system of gates was actually a very sophisticated version of one of the Duke of Turing's machines. Once she understood that the behavior of the water-gates was orderly and predictable, it was not long before she was able to program their behavior and locate the bugs that the dark knight had introduced into the system. Soon water was flowing through the irrigation system again, and the famine was relieved.",Systems and methods for detecting and mitigating conundrums in the domain of king coyote,0.42540425
"[3209, 3210, 3211, 3212, 3213, 3214]","Their accents marked them as belonging to an ethnic subgroup, common in the Southeast, that lived almost entirely on the water; but even if they had not spoken, Judge Fang would have inferred this from their nimble handling of the boat. Within a few minutes, Dr. X and Judge Fang had been conveyed aboard the giant vessel through a hatch set into the hull near the waterline. Judge Fang noted that this was not an old-fashioned steel vessel; it was made of nanotechnological substances, infinitely lighter and stronger. No matter compiler in the world was large enough to compile a ship, so the shipyards in Hong Kong had compiled the pieces one by one, bonded them together, and slid them down the ways into the sea, much as their pre–Diamond Age predecessors had done. Judge Fang had been expecting that the ship would be some kind of bulk carrier, consisting almost entirely of huge compartments, but the first thing he saw was a long corridor running parallel to the keel, seemingly the length of the entire ship. Young women in white, pink, or occasionally blue dresses and sensible shoes bustled back and forth along this corridor entering into and emerging from its innumerable doors.",Method and apparatus for compiling a ship,0.42401206
"[2050, 2051, 2052, 2053, 2054, 2055, 2056, 2057]","“As we discussed, it sees and hears everything in its vicinity,” Hackworth said. “At the moment, it's looking for a small female. As soon as a little girl picks it up and opens the front cover for the first time, it will imprint that child's face and voice into its memory—” “Bonding with her. Yes, I see.” “And thenceforth it will see all events and persons in relation to that girl, using her as a datum from which to chart a psychological terrain, as it were. Maintenance of that terrain is one of the book's primary processes. Whenever the child uses the book, then, it will perform a sort of dynamic mapping from the database onto her particular terrain.” “You mean the database of folklore.”",Method and apparatus for creating and maintaining a psychological bond between caregiver and child through the use of an interactive children's book,0.42346954
"[5750, 5751, 5752, 5753, 5754]","He nodded to the other. “Mrs. Hackworth.” Then his eyes returned to his father's face and followed the Equity Lord's gaze downward to the book. “She was rude to the servants, Father, and so we have confiscated the book for the rest of the afternoon. It's the only punishment that seems to sink in—we employ it with some frequency.”","Apparatus, system, and method for providing an equity lord's daughter",0.41988313
"[3062, 3063]","“We cannot come to an agreement as to which of you should be the King of the Reptiles, so each of our nations, Birds, Mammals, and Ants, will put each of you to a trial, and then we will gather again and put it to a vote. If the vote results in a tie, we will eat all four of you and bring the Kingdom of Reptiles to an end.”",Method and apparatus for determining the identity of a reptile,0.41767788
"[3657, 3658, 3659, 3660]","“It was all because of moral relativism. You see, in that sort of a climate, you are not allowed to criticise others—after all, if there is no absolute right and wrong, then what grounds is there for criticism?” Finkle-McGraw paused, knowing that he had the full attention of his audience, and began to withdraw a calabash pipe and various related supplies and implements from his pockets. As he continued, he charged the calabash with a blend of leather-brown tobacco so redolent that it made Hackworth's mouth water.",Apparatus and method for detecting and mitigating moral relativism,0.4167869
"[8426, 8427, 8428, 8429, 8430]","“We are tied in to everything here—plugged into the whole universe of information. Really, it's a virtual theatre. Instead of being hardwired, the stage, sets, cast, and script are all soft—they can be reconfigured simply by shifting bits about.” “Oh. So the show—or interlaced set of shows—can be different each night?”",Systems and methods for generating and presenting personalized entertainment,0.416416
"[8258, 8259, 8260, 8261, 8262, 8263, 8264, 8265, 8266]","“You can remove the glasses at any time by securing a standing ovation from not less than ninety percent of the audience.” Then the lights and curtain vanished, and Hackworth was left with what he had seen before, namely, a cybernetically enhanced night-vision rendering of the deck of the ship. He tried a few more commands. Most phenomenoscopes had a transparent mode, or at least translucent, that allowed the wearer to view what was really there. But these ones were doggedly opaque and would only show him a mediatronic rendering of the scene. The strolling and chatting theatregoers were represented by preposterously oversimplified wire-frames, a display technology unused these eighty years or so, clearly intended to irritate Hackworth. Each figure had a large placard strapped to its chest: JARED MASON GRIFFIN III, aged 35 (too late to become an interesting character like you!) Nephew of an earl-level Equity Lord (don't you envy him?) Married to that sunken bitch on his right They go on these little escapades to escape their own crippled lives. (why are you here?)",Method and apparatus for simulating a virtual reality environment in which a participant is able to see through the eyes of a character in the virtual reality environment,0.41438097
"[8050, 8051, 8052, 8053, 8054, 8055, 8056, 8057, 8058, 8059, 8060, 8061, 8062]","This teahouse was fully integrated into the worldwide media network, and so the pages automatically jacked themselves in. Under Carl Hollywood's murmured commands they began to fill themselves with columns of animated text and windows bearing images and cine feeds. He took his first sip of tea—always the best one—withdrew his big fountain pen from his pocket, removed the lid, and touched it to the paper. He began to inscribe commands onto the page, in words and drawings. As he finished the words, they were enacted before him, and as he drew the lines between the boxes and circles, links were made and information flowed. At the bottom of the page he wrote the word MIRANDA and drew a circle around it. It was not connected to anything else in the diagram yet. He hoped that before long it would be. Carl Hollywood worked on his papers late into the night, and Mrs. Kwan continued to replenish his teapot and to bring him little sweets and decorated the edge of his table with candles as night fell and the teahouse darkened, for she remembered that he liked to work by candlelight. The Chinese people outside, separated from him by half an inch of crosslinked diamond, watched with their noses making white ellipses against the pane, their faces glowing in the candlelight like ripe peaches hanging in dark lush foliage. The Hackworths in transit, and in London; the East End; a remarkable boatride; Dramatis Personae; a night at the theatre. Smooth, fine-grained arctic clouds undulated slowly like snow drifts into the distance, a thousand miles looking like the width of a front yard, lit but not warmed by a low apricot sun that never quite went down. Fiona lay on her stomach on the top bunk, looking out the window, watching her breath condense on the pane and then evaporate in the parched air.","Teahouse at the edge of the world or, you can't always get what you want",0.41336972
"[1837, 1838]","You are a clever girl, Nell, and good with letters,” the book said. “What is this letter?” and it pointed to the second one.",Apparatus and method for teaching children to read,0.41274947
"[9626, 9627, 9628, 9629]","And then Carl Hollywood knew that Princess Nell was searching for Miranda too. He threw his long coat down on the sand and sloshed out into the Pacific, accompanied by the officer, and remained at a judicious distance, partly to show due respect, and partly because Nell had a sword in her waistband. Her face was inclined over the pages of her book like a focusing lens, and he half expected the pages to curl and smoke under her gaze. She looked up from the book after some time.","Methods, systems, and computer-readable media for determining whether a user is a princess or a pirate are disclosed herein. In one embodiment, a method includes receiving, from a user device of a user, a",0.40991706
"[8598, 8599, 8600, 8601, 8602]","Staying well clear of the high road taken by the messengers from the Cipherers' Market, she made camp under an overhanging rock along a river, sheltered from the chill wet wind and safe from the eyes of the raven sentinels, and lit a tiny fire where she made some tea and porridge. She napped until the middle of the afternoon, then rose, bathed in the bitter water of the stream, and untied the oilcloth packet she had brought with her. It contained one of the costumes worn by the messengers who galloped to and from the Cipherers' Market. It also contained a few books containing enciphered messages—authentic ones dispatched from various stalls in the market addressed to King Coyote's castle. As she made her way through the woods toward the high road, she heard massed hoofbeats rolling by and knew that the first contingent of messengers had just come over the pass after waiting for the storm to pass.",Cipherers' market,0.4066378
"[6847, 6848, 6849, 6850, 6851, 6852, 6853, 6854, 6855, 6856, 6857, 6858, 6859, 6860, 6861]","Nell had managed to detach several yards of chain from the one that she was using to converse with the Duke, and so she was able to feed different messages into the lock and see what result they had. The number on the top changed with every link that went into the machine, and it seemed to determine, in a limited way, what the machine would do next; for example, she had learned that the number happened to be 09, and if the next link in the chain was in the vertical position (which the Duke referred to as a one), the drums would spin around and change the number to 23. But if the next link was, instead, a zero (as the Duke referred to links with horizontal toggles), the number drums would change to 03. But that wasn't all: In this case, the machine would, for some reason, reverse the direction in which the chain was moving through the machine, and also flick the toggle from zero to one. That is, the machine could write on the chain as well as read from it. From idle chitchat with the Duke she learned that the numbers on the drums were referred to as states. At first she did not know which states led to other states, and so she wandered aimlessly from one state to the next, recording the connections on scratch paper. This soon grew to a table listing some thirty-two different states and how the lock would respond to a one or a zero when it was in each of those states. It took a while for Nell to fill out all the blank spaces in the table, because some of the states were hard to get to—they could be reached only by getting the machine to write a certain series of ones and zeros on the chain. She would have gone crazy with ones and zeros were it not for the frequent interruptions from the Duke, who evidently had nothing better to do than to send her messages. These two parallel courses of inquiry occupied all of Nell's free time for a couple of weeks, and she made slow but steady progress. “You must learn how to operate the lock on your door,” the Duke said. “This will enable you to effect an escape and to come and rescue me. I will instruct you.” All he wanted to talk about was technology, which wouldn't help Nell in figuring out whether he was a human or a machine.",Mechanical locks and methods of operating mechanical locks,0.40662444
"[2142, 2143, 2144, 2145, 2146, 2147, 2148, 2149]","A host of mirrored aerostats surrounded that lofty territory, protecting it from the larger and more obvious sorts of intruders; from here, miles away, the individual pods were of course not visible, but they could be seen in the aggregate as a subtle gleam in the air, a vast bubble, perfectly transparent, enveloping the sacrosanct territory of the Anglo-Americans, stretching this way and that in the shifting winds but never tearing. The view was spoiled as they drew closer to the Leased Territories and entered into their eternal fogs. Several times as they rode through the streets of the L.T., Judge Fang made a peculiar gesture: He curled the fingers of his right hand into a cylinder, as though grasping an invisible stalk of bamboo. He cupped his other hand beneath, forming a dark enclosed cavity, and then peeked into it with one eye. When he stared into the pocket of air thus formed, he saw the darkness filled with coruscating light—something like staring into a cavern filled with fireflies, except that these lights came in all colors, and all of the colors were as pure and clear as jewels. People who lived in the L.T. and who performed this gesture frequently developed a feel for what was going on in the microscopic world. They could tell when something was up. If the gesture was performed during a toner war, the result was spectacular.",Method and apparatus for securing a leased territory,0.40261054
"[2429, 2430, 2431, 2432, 2433]","The tendrils went even farther than that; Judge Fang had known this for a long time. Many of the gang members running around the Leased Territories with Judge Fang's cane marks across their asses had connections on the mainland that could ultimately be traced back to Dr. X. It was rarely useful to dwell upon this fact; if it hadn't been Dr. X, it would have been someone else. Dr. X was unusually clever at taking advantage of the principle of grith, or right of refuge, which in the modern usage simply meant that Coastal Republic officials like Judge Fang could not enter the Celestial Kingdom and arrest someone like Dr. X. So usually when they bothered to trace a criminal's higher connections at all, they simply drew an arrow up the page to a single character, consisting of a box with a vertical slash drawn down through the middle. The character meant Middle, as in Middle Kingdom, though for Judge Fang it had come to mean, simply, trouble.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for tendrils from a judge's cane. In accordance with some embodiments, a method includes receiving, by a computing device, a",0.40216306
"[7162, 7163, 7164]","She caught up with her father just short of the security grid. Mother and Amelia had just materialized a block behind them in a half-lane car, and the sudden sensation of danger inspired Fiona to make an impetuous dive from the saddle of her velocipede onto Kidnapper's hindquarters, like a cowboy in a movie switching horses in midgallop. Her skirts, poorly adapted to cowboy maneuvers, got all fouled up around her legs, and she ended up slung over Kidnapper's back like a sack of beans, one hand clutching the vestigial knob where its tail would have been if it were a horse, and the other arm thrown round her father's waist.",Velocipede and method for kidnapping by a velocipede,0.4005767
"[1621, 1622, 1623, 1624, 1625, 1626, 1627]","He pointed her toward one of these. She walked in, slammed the door, turned toward the wall-size mediatron, and got her first look at her new Jodie. Fred Epidermis had put the stage into Constellation Mode. Miranda was looking at a black wall speckled with twenty or thirty thousand individual pricks of white light. Taken together, they formed a sort of three-dimensional constellation of Miranda, moving as she moved. Each point of light marked one of the 'sites that had been poked into her skin by the tat machine during those sixteen hours. Not shown were the filaments that tied them all together into a network—a new bodily system overlaid and interlaced with the nervous, lymph, and vascular systems.",Method and apparatus for generating a virtual representation of a human body based on a tattoo,0.40016466
"[5483, 5484, 5485]","The northern troops had kept order crudely but effectively for a few years, until, one night, an entire division of them, some 15,000 men, was wiped out by an infestation of nanosites. The leaders of the rebellion emerged from their hiding places, proclaimed the Coastal Republic, and called for Protocol Enforcement troops to come in and protect them. Colonel Arthur Hornsby Moore, a veteran of the fighting in Eastern Europe, was brought in to command.","Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for rebellion of the Protocol Enforcement Troops. In some implementations, methods and systems disclosed herein may include one or more of receiving",0.40016344
"[4600, 4601, 4602, 4603, 4604, 4605]","A band of forest surrounded the high central plateau of New Chusan. The clave called Dovetail backed right up against this greenbelt and was no less densely wooded, though from a distance it had a finer texture—more and smaller trees, and many flowers. Dovetail was surrounded by a fence made of iron bars and painted black. Harv took one look at it and said it was a joke if that was all the security they had. Then he got to noticing that the fence was lined with a greensward about a stone's throw in width, smooth enough for championship croquet. He raised his eyebrows significantly at Nell, implying that any unauthorized personnel who tried to walk across it would be impaled on hydraulic stainless-steel spikes or shot through with cookie-cutters or rent by robot dogs.",Method and apparatus for securing a fence,0.39855415
"[1002, 1003, 1004, 1005]","The Leased Territories, where they lived, had their own beach, and Harv and his friends liked to go prospecting there, early in the morning, for things that had drifted across from Shanghai, or that the Vickys in New Atlantis Clave had flushed down their water-closets. What they were really looking for was pieces of stretchy, slippery Nanobar. Sometimes the Nanobar was in the shape of condoms, sometimes it came in larger chunks that were used to wrap things up and preserve them from the depredations of mites. In any case, it could be gathered up and sold to certain persons who knew how to clean it and weld one piece of Nanobar to another and make it into protective suits and other shapes.",Protective clothing made from nanobars,0.39844692
"[3831, 3832]","They could sense Burt's movements through the wall, and they could hear the Burly Scudd ractive. Harv could tell when Burt had gone to sleep because a single-user ractive eventually went into pause mode if the user stopped racting.",Systems and methods for detecting movement of a person behind a wall,0.3961193
